,Symbol,Name,Current Price,Current IV,SMA200,SMA50,Price Percentile 13W,Price Percentile 52W,Price Rank 13W,Price Rank 52W,Price Change 13W,Price Change 52W,IV Percentile 13W,IV Percentile 52W,IV Rank 13W,IV Rank 52W,Market Cap
114,SLAB,Silicon Laboratories Inc. Common Stock,$145.12,41.00,$126.34,$138.78,81.00%,90.00%,75.83,80.72,16.00%,22.00%,0.00%,0.00%,6.89,3.14,"$4,762.16M"
115,SLNO,Soleno Therapeutics Inc. Common Stock,$68.57,40.00,$63.61,$81.82,3.00%,62.00%,19.02,55.45,-10.00%,49.00%,0.00%,0.00%,4.22,4.70,"$3,644.15M"
116,SMCI,Super Micro Computer Inc. Common Stock,$43.88,56.00,$39.21,$48.88,32.00%,65.00%,20.72,54.14,6.00%,-22.00%,5.00%,2.00%,20.87,10.73,"$26,188.36M"
117,SMTC,Semtech Corporation Common Stock,$51.09,78.00,$46.95,$48.15,76.00%,73.00%,77.79,48.74,32.00%,38.00%,95.00%,80.00%,65.23,44.53,"$4,426.21M"
118,SNDK,Sandisk Corporation Common Stock,$46.37,44.00,$28.15,$44.29,79.00%,67.00%,74.67,60.66,21.00%,29.00%,2.00%,1.00%,9.55,3.30,"$6,737.52M"
119,SNOW,Snowflake Inc. Common Stock,$196.81,60.00,$177.75,$210.88,11.00%,77.00%,21.35,73.42,-5.00%,67.00%,84.00%,73.00%,86.83,49.36,"$65,675.50M"
120,STEP,StepStone Group Inc. Class A Common Stock,$61.71,57.00,$58.17,$58.42,90.00%,79.00%,81.35,71.21,4.00%,13.00%,95.00%,87.00%,67.06,26.19,"$7,285.30M"
121,STRL,Sterling Infrastructure Inc. Common Stock,$279.58,45.00,$182.99,$252.62,84.00%,96.00%,69.50,81.28,46.00%,136.00%,21.00%,26.00%,17.37,12.65,"$8,504.78M"
122,SYM,Symbotic Inc. Class A Common Stock,$46.23,65.00,$31.25,$46.66,47.00%,87.00%,51.41,62.53,51.00%,103.00%,16.00%,13.00%,9.19,8.26,"$27,298.51M"
123,SYNA,Synaptics Incorporated Common Stock $0.001 Par Value,$71.45,41.00,$68.04,$65.81,98.00%,56.00%,94.75,61.76,19.00%,-11.00%,3.00%,5.00%,7.10,11.51,"$2,754.07M"
124,TARS,Tarsus Pharmaceuticals Inc. Common Stock,$57.25,48.00,$47.33,$43.83,98.00%,100.00%,98.17,98.91,37.00%,107.00%,11.00%,4.00%,21.56,13.60,"$2,416.76M"
125,TCOM,Trip.com Group Limited American Depositary Shares,$64.92,41.00,$63.64,$61.28,98.00%,70.00%,96.54,65.29,5.00%,53.00%,98.00%,49.00%,96.72,34.88,"$42,410.33M"
126,TDW,Tidewater Inc. Common Stock,$60.83,41.00,$47.91,$51.29,95.00%,80.00%,86.82,49.24,47.00%,-33.00%,0.00%,2.00%,4.40,11.32,"$3,010.62M"
127,TEM,Tempus AI Inc. Class A Common Stock,$80.52,76.00,$55.97,$64.04,98.00%,98.00%,85.46,81.81,22.00%,33.00%,21.00%,7.00%,31.50,13.87,"$13,988.54M"
128,TLN,Talen Energy Corporation Common Stock,$356.11,46.00,$243.59,$323.81,68.00%,92.00%,75.49,85.20,45.00%,146.00%,34.00%,11.00%,8.78,23.56,"$16,269.00M"
129,TMDX,TransMedics Group Inc. Common Stock,$119.85,49.00,$92.18,$122.33,31.00%,61.00%,44.97,53.16,-7.00%,-30.00%,39.00%,14.00%,37.51,29.74,"$4,085.73M"
130,TPC,Tutor Perini Corporation Common Stock,$58.43,40.00,$32.39,$49.21,97.00%,99.00%,80.06,87.88,58.00%,151.00%,13.00%,6.00%,11.70,2.66,"$3,081.79M"
131,TRUP,Trupanion Inc. Common Stock,$46.63,46.00,$46.07,$50.81,2.00%,41.00%,17.87,58.10,-2.00%,-4.00%,11.00%,4.00%,16.93,9.95,"$2,004.84M"
132,TSEM,Tower Semiconductor Ltd. Ordinary Shares,$54.73,43.00,$44.11,$45.85,98.00%,99.00%,98.52,97.83,32.00%,31.00%,47.00%,56.00%,29.03,31.01,"$6,116.44M"
133,TSLA,Tesla Inc. Common Stock,$340.01,44.00,$328.41,$321.48,84.00%,71.00%,70.69,48.06,-6.00%,59.00%,15.00%,4.00%,3.82,2.37,"$1,096,684.88M"
